tolerance_pct,method,budget_precision,budget_recall,budget_f1,f1_overall
0.0,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0
0.0,Бейзлайн (наивные правила),1.0,1.0,1.0,0.6544
0.0,Конкурент (онтология без недопоставок),1.0,1.0,1.0,0.8429
5.0,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0
5.0,Бейзлайн (наивные правила),0.8974,1.0,0.9459,0.6427
5.0,Конкурент (онтология без недопоставок),1.0,1.0,1.0,0.8429
10.0,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0
10.0,Бейзлайн (наивные правила),0.76,1.0,0.8636,0.6229
10.0,Конкурент (онтология без недопоставок),1.0,1.0,1.0,0.8429
20.0,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0
20.0,Бейзлайн (наивные правила),0.6233,1.0,0.7679,0.5966
20.0,Конкурент (онтология без недопоставок),1.0,1.0,1.0,0.8429
