missing_rate,method,precision_overall,recall_overall,f1_overall,delivery_recall,delivery_f1
0.0,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0,1.0
0.0,Бейзлайн (наивные правила),0.5626,1.0,0.7201,1.0,0.5151
0.0,Конкурент (онтология без недопоставок),1.0,1.0,1.0,1.0,1.0
0.2,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0,1.0
0.2,Бейзлайн (наивные правила),0.5941,0.7285,0.6544,0.4827,0.3972
0.2,Конкурент (онтология без недопоставок),1.0,0.7285,0.8429,0.4827,0.6511
0.4,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0,1.0
0.4,Бейзлайн (наивные правила),0.628,0.5473,0.5848,0.2627,0.2934
0.4,Конкурент (онтология без недопоставок),1.0,0.5473,0.7074,0.2627,0.4161
0.6,Предложенный (онтология+агенты),1.0,1.0,1.0,1.0,1.0
0.6,Бейзлайн (наивные правила),0.6986,0.425,0.5285,0.1369,0.1939
0.6,Конкурент (онтология без недопоставок),1.0,0.425,0.5965,0.1369,0.2408
